n = 76

dim = 2;

vertices = [
    [ -3.44 0.87  ]
    [ -3.38 -0.15 ]
    [ -3.34 -0.68 ]
    [ -3.25 1.34  ]
    [ -3.16 0.72  ]
    [ -3.09 2.10  ]
    [ -3.04 -0.07 ]
    [ -3.01 1.40  ]
    [ -2.78 -1.75 ]
    [ -2.40 -1.81 ]
    [ -2.25 -1.69 ]
    [ -2.22 2.34  ]
    [ -2.15 2.17  ]
    [ -2.09 -2.18 ]
    [ -2.03 2.39  ]
    [ -1.88 -2.13 ]
    [ -1.67 2.71  ]
    [ -1.62 -2.19 ]
    [ -1.57 -2.66 ]
    [ -1.52 2.40  ]
    [ -1.37 -2.68 ]
    [ -1.37 2.42  ]
    [ -1.17 2.27  ]
    [ -1.14 2.08  ]
    [ -1.14 2.45  ]
    [ -0.94 -2.32 ]
    [ -0.94 2.65  ]
    [ -0.90 2.46  ]
    [ -0.89 2.19  ]
    [ -0.83 -2.45 ]
    [ -0.74 2.54  ]
    [ -0.55 -2.26 ]
    [ -0.50 2.05  ]
    [ -0.45 2.59  ]
    [ -0.35 2.39  ]
    [ -0.13 -2.60 ]
    [ 0.27 2.24   ]
    [ 0.43 1.92   ]
    [ 0.46 -2.27  ]
    [ 0.54 2.00   ]
    [ 0.64 2.13   ]
    [ 0.70 -2.55  ]
    [ 0.70 -2.34  ]
    [ 0.70 2.33   ]
    [ 0.95 -2.22  ]
    [ 0.96 -2.02  ]
    [ 1.05 1.72   ]
    [ 1.21 -1.86  ]
    [ 1.26 1.43   ]
    [ 1.28 -2.00  ]
    [ 1.32 1.69   ]
    [ 1.33 -1.70  ]
    [ 1.41 -2.18  ]
    [ 1.54 1.56   ]
    [ 1.55 -1.98  ]
    [ 1.55 -1.58  ]
    [ 1.57 -1.82  ]
    [ 1.61 0.79   ]
    [ 1.79 0.05   ]
    [ 1.83 -0.96  ]
    [ 1.87 -1.61  ]
    [ 1.89 -0.50  ]
    [ 1.90 -0.66  ]
    [ 2.01 -1.29  ]
    [ 2.08 1.13   ]
    [ 2.10 0.60   ]
    [ 2.11 -0.21  ]
    [ 2.11 -0.73  ]
    [ 2.11 -0.91  ]
    [ 2.16 -0.53  ]
    [ 2.16 -1.22  ]
    [ 2.19 -0.02  ]
    [ 2.28 -0.91  ]
    [ 2.35 -1.13  ]
    [ 2.39 -0.18  ]
    [ 2.41 -0.37  ]
    [ 2.51 -0.71  ]
];

e = 374;

edges = [
    [ 0 1 ]
    [ 0 3 ]
    [ 0 4 ]
    [ 1 0 ]
    [ 1 2 ]
    [ 1 4 ]
    [ 1 6 ]
    [ 2 1 ]
    [ 2 6 ]
    [ 2 8 ]
    [ 2 10 ]
    [ 3 0 ]
    [ 3 4 ]
    [ 3 5 ]
    [ 3 7 ]
    [ 4 0 ]
    [ 4 1 ]
    [ 4 3 ]
    [ 4 6 ]
    [ 4 7 ]
    [ 5 3 ]
    [ 5 7 ]
    [ 5 11 ]
    [ 5 12 ]
    [ 6 1 ]
    [ 6 2 ]
    [ 6 4 ]
    [ 6 10 ]
    [ 7 3 ]
    [ 7 4 ]
    [ 7 5 ]
    [ 7 12 ]
    [ 7 23 ]
    [ 8 2 ]
    [ 8 9 ]
    [ 8 10 ]
    [ 8 13 ]
    [ 9 8 ]
    [ 9 10 ]
    [ 9 13 ]
    [ 10 2 ]
    [ 10 6 ]
    [ 10 8 ]
    [ 10 9 ]
    [ 10 13 ]
    [ 10 15 ]
    [ 10 17 ]
    [ 11 5 ]
    [ 11 12 ]
    [ 11 14 ]
    [ 11 16 ]
    [ 12 5 ]
    [ 12 7 ]
    [ 12 11 ]
    [ 12 14 ]
    [ 12 19 ]
    [ 12 23 ]
    [ 13 8 ]
    [ 13 9 ]
    [ 13 10 ]
    [ 13 15 ]
    [ 13 18 ]
    [ 14 11 ]
    [ 14 12 ]
    [ 14 16 ]
    [ 14 19 ]
    [ 15 10 ]
    [ 15 13 ]
    [ 15 17 ]
    [ 15 18 ]
    [ 16 11 ]
    [ 16 14 ]
    [ 16 19 ]
    [ 16 21 ]
    [ 16 24 ]
    [ 16 26 ]
    [ 17 10 ]
    [ 17 15 ]
    [ 17 18 ]
    [ 17 20 ]
    [ 17 25 ]
    [ 18 13 ]
    [ 18 15 ]
    [ 18 17 ]
    [ 18 20 ]
    [ 19 12 ]
    [ 19 14 ]
    [ 19 16 ]
    [ 19 21 ]
    [ 19 23 ]
    [ 20 17 ]
    [ 20 18 ]
    [ 20 25 ]
    [ 20 29 ]
    [ 20 35 ]
    [ 21 16 ]
    [ 21 19 ]
    [ 21 22 ]
    [ 21 23 ]
    [ 21 24 ]
    [ 22 21 ]
    [ 22 23 ]
